ticker,nome,segmento
HGDA11,HGDA,Logística
HGDB11,HGDB,Logística
HGDC11,HGDC,Logística
HGDD11,HGDD,Logística
HGDH11,HGDH,Logística
HGDI11,HGDI,Logística
HGDJ11,HGDJ,Logística
HGDK11,HGDK,Logística
HGDL11,HGDL,Logística
HGDM11,HGDM,Logística
HGDN11,HGDN,Logística
HGDO11,HGDO,Logística
HGDP11,HGDP,Logística
HGDQ11,HGDQ,Logística
HGDR11,HGDR,Logística
HGDS11,HGDS,Logística
HGDT11,HGDT,Logística
HGDU11,HGDU,Logística
HGDV11,HGDV,Logística
HGDW11,HGDW,Logística
HGDX11,HGDX,Logística
HGDY11,HGDY,Logística
HGDZ11,HGDZ,Logística
HGFA11,HGFA,Logística
HGFB11,HGFB,Logística
HGFC11,HGFC,Logística
HGFD11,HGFD,Logística
HGFE11,HGFE,Logística
HGFF11,HGFF,Logística
HGFH11,HGFH,Logística
HGFI11,HGFI,Logística
HGFJ11,HGFJ,Logística
HGFK11,HGFK,Logística
HGFL11,HGFL,Logística
HGFM11,HGFM,Logística
HGFN11,HGFN,Logística
HGFO11,HGFO,Logística
HGFQ11,HGFQ,Logística
HGFR11,HGFR,Logística
HGFS11,HGFS,Logística
HGFT11,HGFT,Logística
HGFU11,HGFU,Logística
HGFV11,HGFV,Logística
HGFW11,HGFW,Logística
HGFX11,HGFX,Logística
HGFY11,HGFY,Logística
HGGA11,HGGA,Logística
HGGB11,HGGB,Logística
HGGC11,HGGC,Logística
HGGD11,HGGD,Logística
HGGF11,HGGF,Logística
HGGG11,HGGG,Logística
HGGH11,HGGH,Logística
HGGI11,HGGI,Logística
HGGJ11,HGGJ,Logística
HGGK11,HGGK,Logística
HGGL11,HGGL,Logística
HGGM11,HGGM,Logística
HGGN11,HGGN,Logística
HGGO11,HGGO,Logística
HGGQ11,HGGQ,Logística
HGGR11,HGGR,Logística
HGGS11,HGGS,Logística
HGGU11,HGGU,Logística
HGGV11,HGGV,Logística
HGGW11,HGGW,Logística
HGGX11,HGGX,Logística
HGGY11,HGGY,Logística
HGGZ11,HGGZ,Logística
HGHA11,HGHA,Logística
HGHB11,HGHB,Logística
HGHC11,HGHC,Logística
HGHD11,HGHD,Logística
HGHE11,HGHE,Logística
HGHF11,HGHF,Logística
HGHG11,HGHG,Logística
HGHH11,HGHH,Logística
HGHI11,HGHI,Logística
HGHJ11,HGHJ,Logística
HGHK11,HGHK,Logística
GHAL11,GHAL,Logística
